code,eng_code,ko_code
wtzq19a7,total_expense_include_exceed_of_tourist_bureau_of_korea,여행전체 지출금액($)_한국 여행사 지불 경비 (초과금액포함)
wtzq19a8,total_expense_include_exceed_of_culture,여행전체 지출금액($)_문화관련지출 (초과금액포함)
wtzq19a9,total_expense_include_exceed_of_sports,여행전체 지출금액($)_운동관련지출 (초과금액포함)
wtzq19a10,total_expense_include_exceed_of_etc,여행전체 지출금액($)_기타비용 (초과금액포함)
mzq19a0,individual_expense_all,개별여행 지출금액($)_총경비(국제항공료/선박료 제외)
mzq19a1,individual_expense_of_lodging,개별여행 지출금액($)_개별 숙박비
mzq19a3,individual_expense_of_shopping,개별여행 지출금액($)_쇼핑비
mzq19a4,individual_expense_of_food,개별여행 지출금액($)_식음료비
mzq19a5,individual_expense_of_transport,개별여행 지출금액($)_현지 교통비
mzq19a6,individual_expense_of_entertainment,개별여행 지출금액($)_오락관련지출
mzq19a7,individual_expense_of_tourist_bureau_of_korea,개별여행 지출금액($)_한국 여행사 지불 경비
mzq19a8,individual_expense_of_culture,개별여행 지출금액($)_문화관련지출
mzq19a9,individual_expense_of_sports,개별여행 지출금액($)_운동관련지출
mzq19a10,individual_expense_of_etc,개별여행 지출금액($)_기타비용
mzq19b0,group_expense_all,단체여행 지출금액($)_총경비
mzq19b2,group_expense_of_tourist_bureau_of_own_country,단체여행 지출금액($)_거주국여행사에 지불한 경비
mzq19b3,group_expense_of_shopping,단체여행 지출금액($)_쇼핑비
mzq19b4,group_expense_of_food,단체여행 지출금액($)_식음료비
mzq19b5,group_expense_of_transport,단체여행 지출금액($)_현지 교통비
mzq19b6,group_expense_of_entertainment,단체여행 지출금액($)_오락관련지출
mzq19b7,group_expense_of_tourist_bureau_of_korea,단체여행 지출금액($)_한국 여행사 지불 경비
mzq19b8,group_expense_of_culture,단체여행 지출금액($)_문화관련지출
mzq19b9,group_expense_of_sports,단체여행 지출금액($)_운동관련지출
mzq19b10,group_expense_of_etc,단체여행 지출금액($)_기타비용
wzq19a0,individual_expense_over10000_all,개별여행 지출금액(10000$ 초과 포함)_총경비(국제항공료/선박료 제외)
wzq19a1,individual_expense_over10000_of_lodging,개별여행 지출금액(10000$ 초과 포함)_개별 숙박비
wzq19a3,individual_expense_over10000_of_shopping,개별여행 지출금액(10000$ 초과 포함)_쇼핑비
wzq19a4,individual_expense_over10000_of_food,개별여행 지출금액(10000$ 초과 포함)_식음료비
wzq19a5,individual_expense_over10000_of_transport,개별여행 지출금액(10000$ 초과 포함)_현지 교통비
wzq19a6,individual_expense_over10000_of_entertainment,개별여행 지출금액(10000$ 초과 포함)_오락관련지출
wzq19a7,individual_expense_over10000_of_tourist_bureau_of_korea,개별여행 지출금액(10000$ 초과 포함)_한국 여행사 지불 경비
wzq19a8,individual_expense_over10000_of_culture,개별여행 지출금액(10000$ 초과 포함)_문화관련지출
wzq19a9,individual_expense_over10000_of_sports,개별여행 지출금액(10000$ 초과 포함)_운동관련지출
wzq19a10,individual_expense_over10000_of_etc,개별여행 지출금액(10000$ 초과 포함)_기타비용
wzq19b0,group_expense_over10000_all,단체여행 지출금액(10000$ 초과 포함)_총경비
wzq19b2,group_expense_over10000_of_tourist_bureau_of_own_country,단체여행 지출금액(10000$ 초과 포함)_거주국여행사에 지불한 경비
wzq19b3,group_expense_over10000_of_shopping,단체여행 지출금액(10000$ 초과 포함)_쇼핑비
wzq19b4,group_expense_over10000_of_food,단체여행 지출금액(10000$ 초과 포함)_식음료비
wzq19b5,group_expense_over10000_of_transport,단체여행 지출금액(10000$ 초과 포함)_현지 교통비
wzq19b6,group_expense_over10000_of_entertainment,단체여행 지출금액(10000$ 초과 포함)_오락관련지출
wzq19b7,group_expense_over10000_of_tourist_bureau_of_korea,단체여행 지출금액(10000$ 초과 포함)_한국 여행사 지불 경비
wzq19b8,group_expense_over10000_of_culture,단체여행 지출금액(10000$ 초과 포함)_문화관련지출
wzq19b9,group_expense_over10000_of_sports,단체여행 지출금액(10000$ 초과 포함)_운동관련지출
wzq19b10,group_expense_over10000_of_etc,단체여행 지출금액(10000$ 초과 포함)_기타비용
mday_av0,expense_average_daily,일일 평균 지출금액(전체)
mday_av1,individual_expense_average_daily,일일 평균 지출금액(개별)
mday_av2,group_expense_average_daily,일일 평균 지출금액(단체)
mday_av3,group_air_tel_expense_average_daily,일일 평균 지출금액(Air-tel)
chasu,month_of_examination,조사기간별(월)
